# $1=time_ms	$2=step	$3=step_phase	$4=inhibit_i	$5=pitch	$6=roll	$7=tilt	$8=error	$9=ctrl	$10=ctrl_i_accu
78286	0.942215	1	0	-0.5537062	-2.094577	62.40804	0.0	0.0	0.0
78305	0.9769727	1	0	0.1346584	-2.349082	100.6151	31.28132	0.1091924	0.1091924
78337	0.9994339	3	1	0.5126445	-2.625983	127.1495	47.33548	0.1091924	0.1091924
78357	0.985902	3	1	0.6257522	-3.379604	162.2521	67.49458	0.1091924	0.1091924
78377	0.954816	3	1	-0.5026517	-2.76083	91.45284	-2.705616	0.1091924	0.1091924
78397	0.9206284	3	1	-0.04058066	-3.129415	125.109	25.34012	0.1091924	0.1091924
78479	0.5852735	3	1	1.195313	-3.253955	180.2466	65.88964	0.1091924	0.1091924
78499	0.4904728	3	1	0.2973223	-3.255462	143.9109	24.1967	0.1091924	0.1091924
78519	0.4007103	3	1	-0.6864968	-3.190554	101.3906	-15.00207	0.1091924	0.1091924
78539	0.3097446	3	1	0.409212	-2.316401	110.4187	-4.891085	0.1091924	0.1091924
78559	0.2256886	3	1	1.209129	-2.302426	142.2629	22.06734	0.1091924	0.1091924
78579	0.1481217	3	1	1.144005	-1.996929	127.2487	5.774652	0.1091924	0.1091924
78599	0.08726377	3	1	0.1758272	-2.06573	90.80763	-25.10754	0.1091924	0.1091924
78640	0.01193696	3	1	0.4760273	-0.3844474	34.86085	-66.36168	0.1091924	0.1091924
78658	0.0002042055	3	1	-0.3567298	-0.8432259	0.0	0.0	0.1091924	0.1091924
78677	0	0	1	0.8574811	-1.426387	0.0	0.0	0.1091924	0.1091924
78696	0	0	1	1.099503	-1.996112	0.0	0.0	0.1091924	0.1091924
78709	0	0	1	0.7390215	-1.3727	0.0	0.0	0.1091924	0.1091924
78729	0	0	1	0.2793355	-1.680208	0.0	0.0	0.1091924	0.1091924
78747	0	0	1	0.9762925	-1.628246	0.0	0.0	0.1091924	0.1091924
78765	0	0	1	1.076655	-1.500091	0.0	0.0	0.1091924	0.1091924
78779	0	0	1	0.3799437	-1.242181	0.0	0.0	0.1091924	0.1091924
78805	0	0	1	-0.1141764	-2.224886	0.0	0.0	0.1091924	0.1091924
78819	0	0	1	-0.8284824	-2.414504	0.0	0.0	0.1091924	0.1091924
78838	0	0	1	-0.1661061	-2.811284	0.0	0.0	0.1091924	0.1091924
78855	0	0	1	0.3381253	-2.386458	0.0	0.0	0.1091924	0.1091924
78886	0	0	1	-0.7746528	-2.531886	0.0	0.0	0.1091924	0.1091924
78900	0	0	1	-0.05565824	-2.680708	0.0	0.0	0.1091924	0.1091924
78919	0	0	1	0.3991386	-1.566324	0.0	0.0	0.1091924	0.1091924
78940	0	0	1	1.42084	-1.277184	0.0	0.0	0.1091924	0.1091924
78959	0	0	1	0.8450437	-2.489984	0.0	0.0	0.1091924	0.1091924
78977	0	0	1	0.6286962	-2.69936	0.0	0.0	0.1091924	0.1091924
78995	0	0	1	0.1517381	-1.42863	0.0	0.0	0.1091924	0.1091924
79010	0.001835227	1	0	0.5826533	-0.8769489	0.0	0.0	0.1091924	0.1091924
79030	0.01765838	1	0	1.26538	-1.885378	127.6456	21.63341	0.1847073	0.1847073
79055	0.05129349	1	0	1.417797	-3.012963	179.4991	60.16599	0.3947262	0.3947262
79076	0.1040496	1	0	1.075889	-3.34247	178.992	48.8446	0.565226	0.565226
79096	0.1689761	1	0	0.8995647	-2.07522	120.5178	-7.884128	0.5377052	0.5377052
79117	0.2500025	1	0	0.9070152	-2.114882	122.4263	-4.89241	0.5206275	0.5206275
79149	0.3364537	1	0	-0.1183865	-1.690044	63.66873	-52.11217	0.3387216	0.3387216
79169	0.5095185	1	0	0.6884208	-1.738162	98.30926	-14.30457	0.2887893	0.2887893
79190	0.6039393	1	0	0.7700774	-2.096879	116.1491	2.894402	0.2988926	0.2988926
79210	0.6946383	1	0	1.269627	-1.656658	118.552	4.337074	0.3140319	0.3140319
79239	0.8128073	1	0	1.453473	-1.685268	127.1569	10.59603	0.351019	0.351019
79259	0.8840517	1	0	0.8094523	-2.052166	115.9331	-0.5139854	0.3492249	0.3492249
79280	0.9376949	1	0	0.6251106	-1.782646	97.54646	-15.47453	0.2952086	0.2952086
79300	0.9755239	1	0	0.8321055	-2.110752	119.2243	5.078819	0.312937	0.312937
79325	0.9967413	1	0	2.188409	-1.959027	168.0087	44.09945	0.4668731	0.4668731
79346	0.9981671	3	1	1.158147	-2.34206	141.8035	14.65058	0.4668731	0.4668731
79366	0.9810643	3	1	1.13829	-2.395238	143.1529	13.09969	0.4668731	0.4668731
79387	0.9444238	3	1	1.057976	-1.447056	101.4868	-23.38822	0.4668731	0.4668731
79420	0.8380881	3	1	1.643428	-1.288886	118.7911	-4.981093	0.4668731	0.4668731
79446	0.7540987	3	1	1.627387	-1.893177	142.6235	15.43418	0.4668731	0.4668731
79466	0.6680264	3	1	0.2096246	-1.729153	78.54433	-39.82717	0.4668731	0.4668731
79486	0.5758833	3	1	0.5765985	-2.128396	109.5868	-7.192285	0.4668731	0.4668731
79507	0.4762091	3	1	0.2950721	-2.098456	96.96595	-16.22164	0.4668731	0.4668731
79580	0.1481217	3	1	1.565025	-3.11425	189.5658	62.53321	0.4668731	0.4668731
79605	0.0845972	3	1	0.896369	-2.419427	134.332	5.976224	0.4668731	0.4668731
79626	0.03760025	3	1	0.7608824	-1.318661	84.24978	-36.11094	0.4668731	0.4668731
79646	0.009036213	3	1	1.684059	-0.4711081	87.30621	-27.06275	0.4668731	0.4668731
79665	0	0	1	1.874605	-1.06052	0.0	0.0	0.4668731	0.4668731
79680	0	0	1	0.9325084	-0.9560745	0.0	0.0	0.4668731	0.4668731
79715	0	0	1	-1.410437	-0.4233326	0.0	0.0	0.4668731	0.4668731
79730	0	0	1	-0.9731394	-0.02717379	0.0	0.0	0.4668731	0.4668731
79749	0	0	1	-0.7296524	-0.6859489	0.0	0.0	0.4668731	0.4668731
79768	0	0	1	0.5796397	-0.5102675	0.0	0.0	0.4668731	0.4668731
79785	0	0	1	0.5244108	-1.59387	0.0	0.0	0.4668731	0.4668731
79805	0	0	1	-0.1390249	-2.735195	0.0	0.0	0.4668731	0.4668731
79819	0	0	1	-0.5909765	-3.161394	0.0	0.0	0.4668731	0.4668731
79837	0	0	1	0.1232154	-4.124362	0.0	0.0	0.4668731	0.4668731
79857	0	0	1	1.116978	-2.885749	0.0	0.0	0.4668731	0.4668731
79875	0	0	1	0.006252337	-1.791268	0.0	0.0	0.4668731	0.4668731
79897	0	0	1	-1.01656	-0.8135226	0.0	0.0	0.4668731	0.4668731
79916	0	0	1	-0.07961757	0.1765171	0.0	0.0	0.4668731	0.4668731
79930	0	0	1	0.5887925	0.384027	0.0	0.0	0.4668731	0.4668731
79949	0	0	1	1.627324	-0.4954204	0.0	0.0	0.4668731	0.4668731
79980	0	0	1	1.09244	-0.9732328	0.0	0.0	0.4668731	0.4668731
79999	0	0	1	1.25509	-1.836339	0.0	0.0	0.4668731	0.4668731
80020	0.006532431	1	0	0.5443015	-0.5858694	45.78784	-56.14947	0.2708745	0.2708745
80040	0.03236556	1	0	0.3641723	0.940617	-23.35203	-102.5782	-0.0871911	-0.0871911
80066	0.07681408	1	0	0.7926012	1.589097	-32.25685	-91.27461	-0.4057996	-0.4057996
80086	0.1348724	1	0	0.9019159	0.400783	20.30391	-31.69621	-0.5164403	-0.5164403
80107	0.2061036	1	0	0.6145124	-0.7648256	55.88209	3.178285	-0.5053459	-0.5053459
80127	0.2923043	1	0	1.546643	-1.127069	108.3161	45.53149	-0.346411	-0.346411
80147	0.4053587	1	0	2.389712	-0.2030916	105.0284	34.58632	-0.225682	-0.225682
80167	0.5000043	1	0	1.349912	-0.1700016	61.57486	-7.259883	-0.2510238	-0.2510238
80196	0.6132622	1	0	0.004195135	0.1821568	-7.210057	-62.26022	-0.468353	-0.468353
80216	0.7077035	1	0	-1.155362	0.6780876	-74.27792	-105.8849	-0.837961	-0.837961
80249	0.7900414	1	0	-0.221004	-0.7419293	21.10343	-8.599566	-0.8679791	-0.8679791
80270	0.9127314	1	0	0.8380204	-1.360246	89.05955	48.59703	-0.6983435	-0.6983435
80290	0.9605656	1	0	1.124692	-1.929228	123.7237	68.16848	-0.4603906	-0.4603906
80310	0.9890724	1	0	0.99221	-0.8808182	75.88219	16.64234	-0.4022979	-0.4022979
80335	0.9999775	1	0	-0.4128042	-1.174197	30.84317	-23.24925	-0.483453	-0.483453
80355	0.9918438	3	1	-0.2009065	-1.342162	46.23284	-6.434875	-0.483453	-0.483453
80375	0.9659264	3	1	-0.2491842	-1.237052	40.01944	-10.35553	-0.483453	-0.483453
80396	0.9231813	3	1	0.1666083	-0.1525881	12.93212	-30.65562	-0.483453	-0.483453
80416	0.8651465	3	1	0.5491601	0.2224427	13.23636	-24.8496	-0.483453	-0.483453
80436	0.7938894	3	1	0.9910262	-0.868527	75.33622	30.49793	-0.483453	-0.483453
80456	0.7120387	3	1	1.493253	-0.8021784	92.99068	39.42384	-0.483453	-0.483453
80480	0.5852735	3	1	0.9675591	-0.1658523	45.9181	-6.262245	-0.483453	-0.483453
80517	0.4053773	3	1	-0.1785844	-1.931691	71.01604	15.42136	-0.483453	-0.483453
80538	0.3141527	3	1	0.6751171	-1.165651	74.57648	15.54099	-0.483453	-0.483453
80558	0.2296785	3	1	-0.2362812	-0.6700863	17.57446	-33.94543	-0.483453	-0.483453
80578	0.1515436	3	1	0.2367821	-0.7065554	38.21846	-10.89029	-0.483453	-0.483453
80598	0.0899677	3	1	0.9559876	-1.484123	98.85699	40.73041	-0.483453	-0.483453
80619	0.0432325	3	1	0.6082958	-1.935066	103.039	36.77121	-0.483453	-0.483453
80639	0.01193696	3	1	-0.1929459	-1.118849	37.50987	-23.54502	-0.483453	-0.483453
80658	0.0002042055	3	1	0.7751775	-2.263266	0.0	0.0	-0.483453	-0.483453
80677	0	0	1	-0.2349578	-1.300593	0.0	0.0	-0.483453	-0.483453
80696	0	0	1	-0.1122958	-1.28102	0.0	0.0	-0.483453	-0.483453
80709	0	0	1	-0.247938	-0.4751305	0.0	0.0	-0.483453	-0.483453
80729	0	0	1	-0.4017715	0.962276	0.0	0.0	-0.483453	-0.483453
