# $0=time_ms	$1=step	$2=step_phase	$3=inhibit_i	$4=pitch	$5=roll	$6=tilt	$7=error	$8=ctrl	$9=ctrl_i_accu
197201	0.6362939	1	0	-1.841435	0.06315563	-77.156	0.0	0.0	0.0
197220	0.7248913	1	0	-2.956273	0.7102874	-148.5069	-58.41717	-0.2039144	-0.2039144
197240	0.8015472	1	0	-3.111605	0.6161695	-150.9824	-49.85468	-0.3779401	-0.3779401
197260	0.8715915	1	0	-2.677586	0.7173027	-137.5099	-29.78729	-0.4819173	-0.4819173
197275	0.9281622	1	0	-1.734057	-0.2123208	-61.64874	37.72214	-0.3502422	-0.3502422
197295	0.9676503	1	0	-1.32155	-0.4844014	-33.91795	53.58833	-0.1631836	-0.1631836
197383	0.9444071	3	1	-1.692436	0.2695987	-79.48329	6.568661	-0.1631836	-0.1631836
197415	0.8518856	3	1	-2.159098	0.7464264	-117.6974	-25.90909	-0.1631836	-0.1631836
197435	0.7821949	3	1	-1.584873	0.3422638	-78.07048	11.23119	-0.1631836	-0.1631836
197455	0.6946223	3	1	-1.824648	0.05256367	-76.04743	10.85165	-0.1631836	-0.1631836
197475	0.6086065	3	1	-1.557786	0.3073424	-75.55872	9.284706	-0.1631836	-0.1631836
197494	0.5142571	3	1	-1.562862	0.6473318	-89.53733	-3.843047	-0.1631836	-0.1631836
197523	0.3821009	3	1	-2.001054	1.146298	-127.497	-34.22517	-0.1631836	-0.1631836
197543	0.2923216	3	1	-2.603363	1.680319	-173.5148	-65.69737	-0.1631836	-0.1631836
197562	0.209981	3	1	-1.840093	1.298419	-127.1421	-15.82168	-0.1631836	-0.1631836
197583	0.138127	3	1	-3.008868	0.6891823	-149.7807	-31.48865	-0.1631836	-0.1631836
197603	0.07935757	3	1	-2.484159	-0.3406035	-86.83629	25.75379	-0.1631836	-0.1631836
197623	0.0340642	3	1	-2.989275	-1.24952	-70.50853	34.45345	-0.1631836	-0.1631836
197643	0.008151531	3	1	-2.250556	-0.1510311	-85.05192	16.30098	-0.1631836	-0.1631836
197674	0	0	1	-2.022107	0.8841452	0.0	0.0	-0.1631836	-0.1631836
197693	0	0	1	-0.6422722	0.6840717	0.0	0.0	-0.1631836	-0.1631836
197710	0	0	1	-1.637129	1.178259	0.0	0.0	-0.1631836	-0.1631836
197730	0	0	1	-2.358426	0.9535308	0.0	0.0	-0.1631836	-0.1631836
197743	0	0	1	-1.801242	1.31275	0.0	0.0	-0.1631836	-0.1631836
197763	0	0	1	-1.025055	1.259938	0.0	0.0	-0.1631836	-0.1631836
197781	0	0	1	-0.2402152	1.395618	0.0	0.0	-0.1631836	-0.1631836
197802	0	0	1	-1.260677	1.514531	0.0	0.0	-0.1631836	-0.1631836
197820	0	0	1	-2.540511	0.9532907	0.0	0.0	-0.1631836	-0.1631836
197835	0	0	1	-2.570212	0.1992798	0.0	0.0	-0.1631836	-0.1631836
197853	0	0	1	-2.555902	1.512477	0.0	0.0	-0.1631836	-0.1631836
197871	0	0	1	-1.699018	1.328133	0.0	0.0	-0.1631836	-0.1631836
197890	0	0	1	-1.888203	-0.1808986	0.0	0.0	-0.1631836	-0.1631836
197904	0	0	1	-1.741725	0.4524926	0.0	0.0	-0.1631836	-0.1631836
197934	0	0	1	-2.385122	1.979112	0.0	0.0	-0.1631836	-0.1631836
197953	0	0	1	-2.245359	0.4385023	0.0	0.0	-0.1631836	-0.1631836
197971	0	0	1	-1.284196	0.6678646	0.0	0.0	-0.1631836	-0.1631836
197991	0	0	1	-0.5244793	0.6052796	0.0	0.0	-0.1631836	-0.1631836
198004	0.0003620684	1	0	-0.2948256	-0.05768175	0.0	0.0	-0.1631836	-0.1631836
198030	0.01193282	1	0	-0.4332238	-0.3633331	-2.832179	80.66195	0.1183797	0.1183797
198051	0.04323954	1	0	-1.204477	0.8053267	-81.42241	1.696175	0.1243004	0.1243004
198071	0.08995682	1	0	-0.2715063	0.6918163	-39.02847	36.09794	0.250306	0.250306
