# $0=time_ms	$1=step	$2=step_phase	$3=inhibit_i	$4=pitch	$5=roll	$6=tilt	$7=error	$8=ctrl	$9=ctrl_i_accu
26341	0.9996376	3	1	-0.4241856	-0.11605	-12.48406	0.0	0.0	0.0
26369	0.9870058	3	1	-1.338874	0.8993121	-90.67387	-28.76443	0.0	0.0
26393	0.9206284	3	1	-1.266503	-0.01245179	-50.80524	4.08501	0.0	0.0
26413	0.8618675	3	1	-1.243353	-0.0787074	-47.18316	2.83528	0.0	0.0
26433	0.7900273	3	1	-1.292735	-0.04621909	-50.49968	-0.1770385	0.0	0.0
26453	0.7033675	3	1	-1.975361	-0.1964202	-72.06734	-7.999429	0.0	0.0
26472	0.6178827	3	1	-0.5888557	-0.2102778	-15.33809	17.9267	0.0	0.0
26554	0.2458867	3	1	-1.212663	0.3048053	-61.47651	-10.37851	0.0	0.0
26573	0.1689903	3	1	-1.213667	-0.4116973	-32.49203	6.844755	0.0	0.0
26592	0.1069731	3	1	-1.215465	-0.3704221	-34.23706	1.876082	0.0	0.0
26612	0.055581	3	1	0.124393	-0.7869357	36.92149	26.86794	0.0	0.0
26632	0.02749965	3	1	0.02338784	-0.7939486	33.11319	8.48317	0.0	0.0
26663	0	0	1	-1.867955	-0.1466972	0.0	0.0	0.0	0.0
26681	0	0	1	-0.9474443	-0.8072617	0.0	0.0	0.0	0.0
26700	0	0	1	0.4539242	-0.4037605	0.0	0.0	0.0	0.0
26721	0	0	1	1.751707	-0.716272	0.0	0.0	0.0	0.0
26740	0	0	1	0.7014121	0.2447242	0.0	0.0	0.0	0.0
26754	0	0	1	-0.05495818	0.1374641	0.0	0.0	0.0	0.0
26772	0	0	1	-0.005517332	-0.06538311	0.0	0.0	0.0	0.0
26792	0	0	1	-1.463519	-0.2670088	0.0	0.0	0.0	0.0
26810	0	0	1	-2.020006	-0.7771949	0.0	0.0	0.0	0.0
26825	0	0	1	-0.7994498	-1.105148	0.0	0.0	0.0	0.0
26842	0	0	1	0.1131884	-0.9197864	0.0	0.0	0.0	0.0
26862	0	0	1	-1.155402	-0.5746372	0.0	0.0	0.0	0.0
26875	0	0	1	-1.598559	-1.217187	0.0	0.0	0.0	0.0
26894	0	0	1	-0.6301559	-0.5894644	0.0	0.0	0.0	0.0
26924	0	0	1	-1.447708	-0.8876201	0.0	0.0	0.0	0.0
26942	0	0	1	-0.377037	-0.8564651	0.0	0.0	0.0	0.0
26961	0	0	1	-0.3270639	-0.5578329	0.0	0.0	0.0	0.0
26974	0	0	1	-0.9389385	-0.2201824	0.0	0.0	0.0	0.0
26994	0	0	1	-1.825787	-0.8887914	0.0	0.0	0.0	0.0
27012	0.002738893	1	0	-2.190622	0.07232751	0.0	0.0	0.0	0.0
27032	0.02025443	1	0	-1.06674	-0.4432391	-25.26186	0.0	0.0	0.0
27052	0.05558062	1	0	-0.2306941	-1.880406	66.82657	33.87745	0.1182546	0.1182546
27081	0.1190234	1	0	0.7633524	-1.21508	80.15385	17.36565	0.1788721	0.1788721
27101	0.1871925	1	0	0.6057835	-0.05464942	26.75598	-13.25552	0.1326017	0.1326017
27122	0.2708858	1	0	-0.2990014	-1.050857	30.45805	-3.514515	0.1203337	0.1203337
27142	0.3591348	1	0	-0.7136817	-1.746339	41.82261	2.887872	0.1304143	0.1304143
27162	0.4524753	1	0	0.02115342	-2.12288	86.85465	17.62875	0.1919502	0.1919502
27195	0.6271066	1	0	0.9497298	-1.916294	116.1119	17.2484	0.2521585	0.2521585
27220	0.7206078	1	0	0.380338	-2.063256	98.99512	0.04841238	0.2523275	0.2523275
27241	0.8053211	1	0	0.2354483	-2.015409	91.18575	-2.855094	0.2423613	0.2423613
27261	0.8747396	1	0	-0.469707	-1.158142	27.88728	-24.33654	0.1574108	0.1574108
27281	0.9306135	1	0	-0.210778	-2.406225	88.92841	13.50286	0.2045446	0.2045446
27301	0.9709232	1	0	0.2274238	-1.187721	57.33206	-6.656224	0.18131	0.18131
27321	0.9942103	1	0	0.1840355	-1.228263	57.21709	-2.490983	0.1726149	0.1726149
27341	0.9996376	3	1	0.5339183	-0.7900913	53.64091	-2.231986	0.1726149	0.1726149
27370	0.975527	3	1	0.09499434	-0.9769925	43.42995	-4.577507	0.1726149	0.1726149
